"experiences_offered","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month"
"none","within a few hours",1,1,"f","t","t","Back Bay","t","Apartment","Private room",2,"1.5","1",1,"Real Bed",102,1000,3500,100,5,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.9,1,"f","t","t","Back Bay","f","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",200,700,3500,100,60,1,0,1,1125,29,59,85,233,4,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.77
"none","within an hour",1,1,"f","t","t","Back Bay","f","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",200,1000,3500,200,50,1,0,2,4,0,0,8,17,3,100,10,10,9,10,10,10,"f","f","strict","f","f",1,1.36
"none","within a day",0.75,1,"f","t","t","Back Bay","f","Apartment","Entire home/apt",3,"1","0",1,"Real Bed",170,1000,3500,100,30,1,0,3,1125,1,1,1,1,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a day",0.92,0.76,"t","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",205,1000,3500,150,100,1,0,3,60,1,14,32,122,15,99,10,10,9,10,10,10,"f","f","strict","f","f",2,1.71
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Private room",4,"1","1",2,"Real Bed",220,1800,3500,100,100,1,0,1,1125,0,0,0,0,2,60,6,6,6,6,8,6,"f","f","moderate","f","f",1,0.12
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",225,1000,3500,100,40,1,0,2,5,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",6,"2","2",3,"Real Bed",975,1000,3500,750,150,5,50,2,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
"none","within a few hours",1,0.71,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1.5","2",2,"Real Bed",295,1000,3500,100,50,2,50,2,1125,0,6,17,277,23,100,10,10,10,10,10,10,"f","f","flexible","f","f",1,1.6
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",245,1200,5500,125,100,2,50,2,40,8,12,41,316,133,83,8,9,9,9,10,9,"f","f","strict","f","f",3,4.91
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",600,1000,3500,100,100,1,0,2,3,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",1,0.91,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",150,1000,3500,100,225,1,0,7,1125,13,43,73,282,3,87,10,10,10,10,10,9,"f","f","strict","f","f",50,0.23
"none","within an hour",1,0.69,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",232,1000,3500,100,100,1,0,10,1125,13,43,73,343,1,100,10,10,10,10,10,10,"f","f","moderate","f","f",13,1
"none","within a few hours",0.96,0.68,"f","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",298,1000,6270,100,100,1,0,3,1125,4,5,5,5,3,80,9,10,8,9,10,9,"f","f","moderate","f","t",61,0.26
"none","within an hour",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",2,"1","0",2,"Real Bed",329,1000,3500,900,120,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,0.4,"f","t","t","Back Bay","t","Other","Shared room",1,"1","1",1,"Real Bed",40,1000,3500,100,100,1,0,1,1125,0,22,48,323,8,100,10,10,9,9,10,9,"f","f","flexible","f","f",1,2.09
"none","within an hour",1,1,"t","t","t","Back Bay","t","Condominium","Entire home/apt",3,"1","1",1,"Real Bed",235,1000,3500,150,30,2,25,3,14,2,5,5,5,20,98,10,10,10,10,10,10,"f","f","moderate","f","f",1,1.19
"none","within a few hours",0.98,0.66,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",194,1000,3500,500,100,1,0,2,1125,4,16,31,306,23,93,10,9,10,10,10,9,"f","f","strict","f","f",19,1.62
"none","within a few hours",0.91,0.94,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",299,1000,3500,100,100,1,0,2,1125,7,26,40,180,10,86,9,9,10,9,10,9,"f","f","strict","f","f",11,1.84
"none","within an hour",1,0.67,"f","t","f","Back Bay","t","Apartment","Private room",1,"1","1",1,"Real Bed",50,450,1700,100,100,1,0,3,365,12,42,72,255,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",300,1000,3500,100,50,1,0,2,10,0,0,8,8,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",3,1.97090844821492
"none","within a few hours",0.91,0.94,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",229,1000,3500,100,100,1,0,2,1125,4,20,38,152,20,91,9,10,10,10,10,9,"f","f","strict","f","f",11,2.88
"none","within a few hours",1,0.93,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",175,1000,3500,100,40,1,0,1,1125,0,0,4,4,18,99,10,10,10,10,10,9,"f","f","flexible","f","f",1,1.42
"none","within an hour",1,0,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",230,1000,3500,500,30,2,15,1,1125,0,0,0,0,2,100,10,10,10,10,10,10,"f","f","strict","f","f",1,0.14
"none","within a day",0.7,0.93,"f","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",130,835,2890,1500,150,1,0,60,365,30,60,86,303,1,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",7,0.39
"none","within a few hours",0.98,0.55,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",319,1000,3500,100,100,1,0,3,1125,26,53,78,168,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"1.5","2",2,"Real Bed",319,1000,3500,100,100,1,0,3,1125,29,59,89,179,3,80,8,9,8,9,10,7,"f","f","strict","f","f",136,0.66
"none","within a few hours",0.89,0.45,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1.25594405594406",1,"Real Bed",209,1000,3650,100,100,1,0,2,120,8,28,47,322,17,92,8,9,10,10,10,9,"f","f","super_strict_30","f","t",79,0.42
"none","within a day",1,1,"f","t","t","Back Bay","t","Loft","Entire home/apt",2,"1","0",1,"Real Bed",160,1000,3500,100,30,1,0,2,1125,0,0,0,61,14,97,9,9,10,10,10,9,"f","f","strict","f","f",1,0.74
"none","within a few hours",0.97,0.81,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",257,1000,3500,100,50,2,5,2,1125,0,0,0,246,3,87,7,8,7,6,9,9,"f","f","moderate","f","f",17,0.89
"none","within a few hours",0.97,0.81,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",199,1000,3500,100,50,1,5,2,1125,0,0,27,298,2,100,10,10,10,10,10,10,"f","f","moderate","f","f",17,0.55
"none","within an hour",1,1,"f","t","t","Back Bay","f","Condominium","Entire home/apt",3,"1","0",1,"Real Bed",159,1000,3500,100,100,1,0,2,1125,0,22,52,327,14,91,10,9,10,9,10,9,"f","t","strict","f","f",3,6.27
"none","within a day",0.9,0.85,"f","t","f","Back Bay","t","Condominium","Entire home/apt",2,"1","1",1,"Real Bed",185,1000,3500,100,100,1,0,1,1125,4,7,21,21,1,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1
"none","within a few hours",1,0.87,"t","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",229,1475,5400,100,100,2,25,3,1825,11,18,27,292,25,96,10,10,10,10,10,9,"f","f","strict","f","f",12,0.52
"none","within an hour",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",169,800,3500,100,40,2,0,2,1125,0,0,0,0,9,96,10,9,10,10,10,9,"f","f","flexible","f","f",1,0.81
"none","within a few hours",0.94,1,"f","t","t","Back Bay","f","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",175,1250,4100,100,75,0,0,2,1125,3,14,36,36,17,87,9,9,10,10,10,9,"f","f","moderate","f","f",1,4.32
"none","within an hour",1,0.99,"t","t","t","Back Bay","t","Apartment","Entire home/apt",6,"2","2",2,"Real Bed",375,1000,3500,475,125,4,40,3,45,11,37,67,342,30,99,10,10,10,10,10,10,"f","t","strict","f","f",15,3.13
"none","within a few hours",1,0.91,"t","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",350,1000,3500,500,100,2,0,3,14,2,15,29,253,25,99,10,10,10,10,10,10,"f","f","moderate","f","f",1,3.18
"none","within a few hours",1,0.5,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",325,1000,3500,800,100,1,0,2,1125,2,15,23,76,2,80,10,8,10,10,10,8,"f","f","strict","f","f",1,0.56
"none","within a day",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",185,1000,3500,100,100,1,0,5,1125,15,15,15,269,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a day",0.77,0.33,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",179,1000,3500,100,100,1,0,2,1125,17,47,77,348,4,95,9,10,10,10,10,8,"f","f","strict","f","f",14,0.48
"none","within a few hours",0.98,0.66,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",259,1000,3500,500,100,1,0,2,1125,12,36,58,333,7,93,9,10,10,10,10,9,"f","f","strict","f","f",19,0.54
"none","within an hour",1,1,"t","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",299,1000,3500,4000,100,1,0,4,7,9,28,58,148,17,99,10,10,10,10,10,10,"f","t","moderate","f","f",1,2.79
"none","within a day",0.96,0.95,"f","t","f","Back Bay","t","Apartment","Entire home/apt",1,"1","0",1,"Real Bed",139,1000,3500,100,10,1,0,2,29,14,42,67,342,67,81,9,8,9,9,10,9,"f","f","strict","f","f",4,2.74
"none","within a few hours",0.96,0.68,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"1.5","2",3,"Real Bed",363,1000,8070,100,100,1,0,3,1125,30,60,90,148,7,73,8,7,8,8,10,8,"f","f","moderate","f","t",61,0.45
"none","within an hour",1,0.36,"f","t","t","Back Bay","t","Apartment","Entire home/apt",7,"2","3",4,"Real Bed",218,1000,3500,100,136,1,0,2,1125,24,51,74,342,7,89,9,10,10,9,10,9,"f","f","strict","f","f",25,0.63
"none","within a few hours",1,0.97,"t","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",239,1000,7000,200,75,4,50,2,1125,7,28,50,323,103,98,10,10,10,10,10,10,"f","f","strict","f","f",1,4.09
"none","within a few hours",0.71,0.98,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",139,1000,3500,400,95,1,10,3,1125,5,28,55,82,13,92,9,10,9,9,10,9,"f","t","strict","f","f",58,2.25
"none","within a day",1,1,"f","t","f","Back Bay","t","Apartment","Private room",1,"1","1",1,"Real Bed",80,1000,3500,100,100,1,0,1,30,0,0,0,244,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.89,0.45,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1.5","2",2,"Real Bed",299,1000,7200,100,150,1,0,4,365,29,59,85,360,3,87,9,9,8,10,10,9,"f","f","super_strict_30","f","t",79,0.13
"none","within a day",1,0.74,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",2,"Real Bed",225,1000,3500,400,65,2,25,2,1125,8,20,50,325,19,99,10,10,10,10,10,10,"f","f","moderate","f","f",1,1.62
"none","within a day",0.89,0.86,"f","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",115,625,2205,100,100,2,0,7,1125,11,41,71,98,22,79,9,8,9,8,9,8,"f","f","flexible","f","f",1,1.56
"none","within an hour",1,1,"f","t","t","Back Bay","t","Loft","Entire home/apt",3,"1","0",2,"Real Bed",100,1000,3500,100,20,1,0,1,4,0,0,0,0,3,93,9,9,10,9,10,9,"f","t","flexible","f","f",1,3
"none","within an hour",1,0.5,"f","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",200,1000,3500,100,80,1,0,2,1125,0,4,34,309,15,92,9,9,10,10,10,9,"f","f","strict","f","f",1,1.08
"none","within an hour",1,1,"f","t","t","Back Bay","t","Condominium","Private room",2,"1","1",1,"Real Bed",109,1000,3500,100,40,1,29,2,15,7,13,40,54,23,97,10,10,10,10,10,10,"f","t","strict","f","f",1,9.2
"none","within an hour",1,1,"f","t","t","Back Bay","t","Townhouse","Entire home/apt",3,"1","1",2,"Real Bed",150,1000,5500,500,80,2,15,1,1125,0,8,38,70,77,91,9,9,10,10,10,9,"f","f","strict","f","f",2,6.29
"none","within a few hours",1,0.88,"f","t","t","Back Bay","t","Condominium","Entire home/apt",3,"1.5","1",1,"Real Bed",350,1000,3500,500,100,1,0,1,1125,24,54,84,359,2,80,10,7,10,9,9,9,"f","f","flexible","f","f",1,1.87
"none","within a few hours",0.98,0.55,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"1.5","2",2,"Real Bed",319,1000,3500,100,100,1,0,3,1125,29,59,89,179,2,80,6,9,10,6,10,8,"f","f","strict","f","f",136,0.24
"none","within a day",0.91,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",225,1000,3500,250,50,1,0,1,1125,7,24,40,40,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
"none","within a few hours",1,0.5,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",281,1000,3500,200,83,0,0,4,1125,0,0,0,0,12,98,10,9,10,10,10,10,"f","f","moderate","f","f",1,2.61
"none","within a few hours",0.89,0.45,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",249,1000,5586,100,100,1,0,2,1825,26,56,86,361,17,88,9,8,10,10,10,9,"f","f","super_strict_30","f","t",79,0.44
"none","within a few hours",0.97,0.84,"f","t","t","Back Bay","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",170,1000,3300,500,125,2,10,7,1125,2,18,48,323,17,86,9,9,9,9,10,9,"f","f","strict","f","f",7,0.61
"none","within an hour",1,0.36,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",119,1000,3500,100,119,1,0,2,1125,14,44,74,344,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",25,1.97090844821492
"none","within a few hours",0.91,0.94,"f","t","f","Back Bay","t","Apartment","Private room",2,"1","1",1,"Real Bed",185,1000,3500,100,100,2,0,2,1125,21,51,78,222,1,100,10,10,10,10,10,8,"f","f","strict","f","f",11,0.25
"none","within a few hours",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","3",3,"Real Bed",450,1000,3500,300,100,1,0,5,1125,0,0,0,0,1,100,10,10,10,10,10,10,"f","f","strict","f","f",1,0.29
"none","within a few hours",0.89,0.45,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"1","2",2,"Real Bed",285,1000,7500,100,100,1,0,2,365,27,54,79,348,23,84,9,9,10,9,10,8,"f","f","super_strict_30","f","t",79,0.34
"none","within an hour",1,1,"f","t","t","Back Bay","f","Apartment","Entire home/apt",3,"1","0",1,"Real Bed",199,1000,3500,100,25,3,50,2,7,2,2,7,10,11,96,10,9,10,10,10,10,"f","f","moderate","f","f",2,2.54
"none","within a few hours",0.98,0.65,"f","t","t","Back Bay","f","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",120,1000,3500,100,40,1,0,3,1125,0,2,14,286,5,100,10,10,10,10,10,9,"f","f","strict","f","f",2,1.6
"none","within an hour",1,1,"f","t","t","Back Bay","t","Loft","Entire home/apt",4,"1","1",1,"Real Bed",175,1200,4000,150,100,1,0,2,45,6,26,56,325,312,92,9,9,10,10,10,9,"f","t","strict","t","f",1,5.85
"none","within a few hours",0.89,0.45,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",329,1000,7200,100,200,4,0,4,730,29,59,89,364,11,86,9,9,10,10,10,8,"f","f","super_strict_30","f","t",79,0.15
"none","within a few hours",1,0,"t","t","t","Back Bay","t","House","Entire home/apt",6,"2.5","3",2,"Real Bed",550,1000,3500,1000,85,1,0,3,1125,0,3,12,126,15,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.96
"none","within a few hours",0.98,0.55,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",319,1000,10470,100,100,1,0,3,1125,24,54,84,174,5,76,8,8,8,8,8,8,"f","f","strict","f","f",136,0.36
"none","within an hour",1,1,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1.5","2",2,"Real Bed",250,1000,3500,100,80,1,0,2,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
"none","within an hour",1,0.36,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",119,1000,3500,100,119,1,0,2,1125,17,47,77,345,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",25,1.97090844821492
"none","within a few hours",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",325,2500,6000,400,100,2,25,3,1125,26,56,86,361,12,85,9,9,9,9,9,9,"f","f","strict","f","f",2,0.71
"none","within a few hours",0.98,0.66,"f","t","t","Back Bay","t","Apartment","Entire home/apt",6,"1","2",2,"Real Bed",150,1000,3500,500,125,6,50,2,1125,5,17,34,309,3,93,9,10,10,9,10,9,"f","f","strict","f","f",19,0.55
"none","within a day",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",425,2000,6000,500,90,1,0,7,1125,4,25,38,38,15,96,10,9,10,10,10,9,"f","f","strict","f","f",1,1.32
"none","within an hour",1,0.81,"f","t","t","Back Bay","t","Townhouse","Entire home/apt",3,"1","1",2,"Real Bed",199,1000,3500,100,29,3,50,1,1125,15,44,69,344,24,93,10,9,10,10,10,9,"f","f","strict","f","f",2,3.69
"none","within an hour",1,0.83,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",310,1000,3500,100,50,1,0,1,10,5,23,45,299,2,90,10,9,10,10,10,8,"f","f","moderate","f","f",1,2
"none","within a few hours",0.89,0.45,"f","t","t","Back Bay","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",389,1000,12415,100,100,1,0,2,180,16,46,76,351,9,96,10,10,10,9,10,9,"f","f","super_strict_30","f","t",79,0.25
"none","within an hour",1,1,"t","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",145,995,3900,200,60,1,0,2,1125,1,5,24,114,46,97,10,10,10,10,10,10,"f","t","strict","f","f",2,4.54
"none","within an hour",0.8,1,"f","t","f","Back Bay","f","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",200,1000,3500,95,20,1,0,2,1125,0,0,0,0,11,87,9,8,9,9,10,9,"f","t","flexible","f","f",1,3.67
"none","within a few hours",0.98,0.66,"f","t","t","Back Bay","t","Apartment","Entire home/apt",6,"1","3",3,"Real Bed",568,1000,3500,500,125,1,0,2,1125,7,23,43,318,21,87,9,9,9,9,10,9,"f","f","strict","f","f",19,1.76
"none","within an hour",1,0.36,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",119,1000,3500,100,119,1,0,2,1125,20,50,80,355,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",25,1.97090844821492
"none","within a few hours",0.96,0.68,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"1.5","2",3,"Real Bed",363,1000,8070,100,100,1,0,3,1125,23,53,83,141,17,89,8,9,9,9,10,9,"f","f","moderate","f","t",61,0.72
"none","within an hour",0.99,0.81,"f","t","t","Back Bay","f","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",400,1000,3500,250,65,1,0,1,1125,29,59,89,364,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",24,1.97090844821492
"none","within a few hours",1,0.91,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",150,1000,3500,100,225,1,0,7,1125,0,1,31,306,6,97,10,10,10,10,10,9,"f","f","strict","f","f",50,0.52
"none","within a few hours",1,0.91,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",160,1000,3500,100,225,1,0,7,1125,8,38,68,343,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",50,1.97090844821492
"none","within an hour",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","0",2,"Real Bed",160,1000,3500,100,100,1,0,3,1125,0,0,0,94,2,80,10,10,10,10,10,8,"f","f","moderate","f","f",1,0.47
"none","within an hour",1,0,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","2",1,"Real Bed",250,1575,3500,300,75,0,0,2,30,0,0,0,0,10,96,10,10,10,10,10,10,"f","f","strict","f","f",1,0.37
"none","within a few hours",1,0.64,"f","t","t","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",169,1000,3500,100,45,1,50,5,1125,18,43,73,348,10,97,10,9,10,10,10,10,"f","f","strict","f","f",1,0.9
"none","within a few hours",1,1,"f","t","f","Back Bay","t","Condominium","Private room",2,"2","1",1,"Real Bed",89,1000,3500,150,150,1,30,14,180,6,29,37,127,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",3,1.97090844821492
"none","within a few hours",0.98,0.55,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",319,1000,3500,100,100,1,0,3,1125,26,56,86,176,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",136,1.97090844821492
"none","within a few hours",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",189,1000,3500,500,150,1,0,13,365,0,0,0,248,1,100,10,10,8,10,10,10,"f","f","strict","f","f",3,0.88
"none","within a day",0.77,0.33,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",299,1000,3500,100,100,1,0,2,1125,25,55,85,360,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",14,1.97090844821492
"none","within an hour",1,0.36,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"2","2",3,"Real Bed",183,1000,3500,100,136,1,0,2,1125,23,53,83,358,11,95,9,9,9,10,10,9,"f","f","strict","f","f",25,0.69
"none","within an hour",1,0.81,"f","t","t","Back Bay","t","Condominium","Entire home/apt",4,"1","1",3,"Real Bed",699,1000,3500,100,100,2,100,1,1125,30,60,90,365,36,86,9,8,10,10,10,8,"f","f","strict","f","f",2,1.41
"none","within an hour",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",6,"1","1",3,"Real Bed",100,1000,3500,100,25,0,0,1,1125,0,0,1,1,2,60,7,4,9,9,10,7,"f","f","strict","f","f",1,0.53
"none","within a few hours",0.9,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",275,1000,6500,100,60,1,50,3,1125,20,50,80,355,30,97,10,10,9,10,10,9,"f","f","strict","f","f",1,1.17
"none","within a few hours",1,0.29,"f","t","t","Back Bay","t","Apartment","Entire home/apt",5,"1","1",2,"Real Bed",159,1000,3500,100,100,1,0,5,1125,0,0,0,0,2,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.94
"none","within an hour",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",5,"1","2",2,"Real Bed",279,1000,3500,100,40,1,0,2,1125,0,0,7,35,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","f","Back Bay","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",200,1000,3500,200,100,3,25,1,1125,12,39,69,96,19,92,9,9,10,10,10,9,"f","f","flexible","f","f",1,3.96
"none","within an hour",0.99,0.81,"f","t","t","Back Bay","f","Apartment","Entire home/apt",6,"1","1",2,"Real Bed",207,1000,3500,99,50,3,50,1,1125,10,37,67,342,26,86,8,9,9,9,10,8,"f","f","strict","f","f",24,4.31
